product_id,product_name,price,price_i
1,p1,Rs 230,230
2,p2,Rs 425,425
3,p3,Rs 185,185
4,p4,Rs 330,330
5,p5,Rs 260,260
6,p6,Rs 185,185
7,p7,Rs 255,255
8,p8,Rs 95,95
9,p9,Rs 220,220
10,p10,Rs 275,275
11,p11,Rs 240,240
12,p12,Rs 355,355
13,p13,Rs 75,75
14,p14,Rs 255,255
15,p15,Rs 260,260
16,p16,Rs 315,315
17,p17,Rs 140,140
18,p18,Rs 230,230
19,p19,Rs 440,440
20,p20,Rs 170,170
21,p21,Rs 240,240
22,p22,Rs 410,410
23,p23,Rs 135,135
24,p24,Rs 220,220
25,p25,Rs 185,185
26,p26,Rs 330,330
27,p27,Rs 70,70
28,p28,Rs 205,205
29,p29,Rs 115,115
30,p30,Rs 255,255
31,p31,Rs 295,295
32,p32,Rs 240,240
33,p33,Rs 435,435
34,p34,Rs 90,90
35,p35,Rs 435,435
36,p36,Rs 330,330
37,p37,Rs 90,90
38,p38,Rs 195,195
39,p39,Rs 210,210
40,p40,Rs 260,260
41,p41,Rs 405,405
42,p42,Rs 290,290
43,p43,Rs 335,335
44,p44,Rs 290,290
45,p45,Rs 315,315
46,p46,Rs 90,90
47,p47,Rs 240,240
48,p48,Rs 340,340
49,p49,Rs 285,285
50,p50,Rs 310,310
51,p51,Rs 440,440
52,p52,Rs 420,420
53,p53,Rs 235,235
54,p54,Rs 190,190
55,p55,Rs 130,130
56,p56,Rs 295,295
57,p57,Rs 205,205
58,p58,Rs 430,430
59,p59,Rs 240,240
60,p60,Rs 75,75
61,p61,Rs 115,115
62,p62,Rs 375,375
63,p63,Rs 130,130
64,p64,Rs 385,385
65,p65,Rs 400,400
66,p66,Rs 425,425
67,p67,Rs 350,350
68,p68,Rs 300,300
69,p69,Rs 90,90
70,p70,Rs 455,455
71,p71,Rs 240,240
72,p72,Rs 330,330
73,p73,Rs 205,205
74,p74,Rs 195,195
75,p75,Rs 270,270
76,p76,Rs 295,295
77,p77,Rs 100,100
78,p78,Rs 295,295
79,p79,Rs 305,305
80,p80,Rs 145,145
81,p81,Rs 315,315
82,p82,Rs 215,215
83,p83,Rs 335,335
84,p84,Rs 315,315
85,p85,Rs 100,100
86,p86,Rs 195,195
87,p87,Rs 230,230
88,p88,Rs 260,260
89,p89,Rs 120,120
90,p90,Rs 415,415
91,p91,Rs 175,175
92,p92,Rs 260,260
93,p93,Rs 255,255
94,p94,Rs 210,210
95,p95,Rs 125,125
96,p96,Rs 325,325
97,p97,Rs 250,250
98,p98,Rs 140,140
99,p99,Rs 275,275
100,p100,Rs 450,450
101,p101,Rs 215,215
102,p102,Rs 325,325
103,p103,Rs 190,190
104,p104,Rs 380,380
105,p105,Rs 380,380
106,p106,Rs 290,290
107,p107,Rs 380,380
108,p108,Rs 110,110
109,p109,Rs 235,235
110,p110,Rs 245,245
111,p111,Rs 335,335
112,p112,Rs 350,350
113,p113,Rs 300,300
114,p114,Rs 220,220
115,p115,Rs 130,130
116,p116,Rs 220,220
117,p117,Rs 380,380
118,p118,Rs 280,280
119,p119,Rs 435,435
120,p120,Rs 405,405
121,p121,Rs 110,110
122,p122,Rs 180,180
123,p123,Rs 430,430
124,p124,Rs 400,400
125,p125,Rs 455,455
126,p126,Rs 255,255
127,p127,Rs 120,120
128,p128,Rs 225,225
129,p129,Rs 270,270
130,p130,Rs 240,240
131,p131,Rs 130,130
132,p132,Rs 75,75
133,p133,Rs 280,280
134,p134,Rs 310,310
135,p135,Rs 160,160
136,p136,Rs 315,315
137,p137,Rs 195,195
138,p138,Rs 120,120
139,p139,Rs 330,330
140,p140,Rs 415,415
141,p141,Rs 115,115
142,p142,Rs 440,440
143,p143,Rs 450,450
144,p144,Rs 415,415
145,p145,Rs 115,115
146,p146,Rs 365,365
